"Input number 77055 with intial rewrite term caababbaabbbbbbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 420  Number of array doubles: 0"
Term	Number
cabaaaaabfabaabaabbd	493715
cabaaaaagaabaabaabbd	493715
cabaaaafaaabaabaabbd	493715
cabaaaebaaabaabaabbd	493715
cabaaeabaaabaabaabbd	493715
cabaeaabaaabaabaabbd	493715
cabeaaabaaabaabaabbd	493715
cafbaaabaaabaabaabbd	493715
cebbaaabaaabaabaabbd	493715
cbbbaaabaaabaabaabbd	493715
cbbbaaabaaabaabafabd	740573
cbbbaaabaaabaabebabd	740573
cbbbaaabaaabaafbbabd	740573
cbbbaaabaaabaebbbabd	740573
cbbbaaabaaabeabbbabd	740573
cbbbaaabaaafbabbbabd	740573
cbbbaaabaaebbabbbabd	740573
cbbbaaabaeabbabbbabd	740573
cbbbaaabeaabbabbbabd	740573
cbbbaaafbaabbabbbabd	740573
cbbbaaebbaabbabbbabd	740573
cbbbaeabbaabbabbbabd	740573
cbbbeaabbaabbabbbabd	740573
cbbfbaabbaabbabbbabd	740573
cbgabaabbaabbabbbabd	740573
cgbabaabbaabbabbbabd	740573
cabbabaabbaabbabbbabd	740573
cabbabaabbaabbabbgd	277715
cabbabaabbaabbabgbd	277715
cabbabaabbaabbagbbd	277715
cabbabaabbaabbfabbd	277715
cabbabaabbaabgaabbd	277715
cabbabaabbaagbaabbd	277715
cabbabaabbafabaabbd	277715
cabbabaabbebabaabbd	277715
cabbabaabfbbabaabbd	277715
cabbabaagabbabaabbd	277715
cabbabafaabbabaabbd	277715
cabbabebaabbabaabbd	277715
cabbafbbaabbabaabbd	277715
cabbebbbaabbabaabbd	277715
cabfbbbbaabbabaabbd	277715
cagabbbbaabbabaabbd	277715
cfaabbbbaabbabaabbd	277715
caaaabbbbaabbabaabbd	277715
caaaabbbbaabbabafabd	416573
caaaabbbbaabbabebabd	416573
caaaabbbbaabbafbbabd	416573
caaaabbbbaabbebbbabd	416573
caaaabbbbaabfbbbbabd	416573
caaaabbbbaagabbbbabd	416573
caaaabbbbafaabbbbabd	416573
caaaabbbbebaabbbbabd	416573
caaaabbbfbbaabbbbabd	416573
caaaabbgabbaabbbbabd	416573
caaaabgbabbaabbbbabd	416573
caaaagbbabbaabbbbabd	416573
caaafabbabbaabbbbabd	416573
caaebabbabbaabbbbabd	416573
caeababbabbaabbbbabd	416573
ceaababbabbaabbbbabd	416573
cbaababbabbaabbbbabd	416573
cbaababbabbaabbbgd	156215
cbaababbabbaabbgbd	156215
cbaababbabbaabgbbd	156215
cbaababbabbaagbbbd	156215
cbaababbabbafabbbd	156215
cbaababbabbebabbbd	156215
cbaababbabfbbabbbd	156215
cbaababbagabbabbbd	156215
cbaababbfaabbabbbd	156215
cbaababgaaabbabbbd	156215
cbaabagbaaabbabbbd	156215
cbaabfabaaabbabbbd	156215
cbaagaabaaabbabbbd	156215
cbafaaabaaabbabbbd	156215
cbebaaabaaabbabbbd	156215
cfbbaaabaaabbabbbd	156215
caabbaaabaaabbabbbd	156215
caabbaaabaaabbagbbd	234323
caabbaaabaaabbfabbd	234323
caabbaaabaaabgaabbd	234323
caabbaaabaaagbaabbd	234323
caabbaaabaafabaabbd	234323
caabbaaabaebabaabbd	234323
caabbaaabeababaabbd	234323
caabbaaafbababaabbd	234323
caabbaaebbababaabbd	234323
caabbaeabbababaabbd	234323
caabbeaabbababaabbd	234323
caabfbaabbababaabbd	234323
caagabaabbababaabbd	234323
cafaabaabbababaabbd	234323
cebaabaabbababaabbd	234323
cbbaabaabbababaabbd	234323
cbbaabaabbababafabd	351485
cbbaabaabbababebabd	351485
cbbaabaabbabafbbabd	351485
cbbaabaabbabebbbabd	351485
cbbaabaabbafbbbbabd	351485
cbbaabaabbebbbbbabd	351485
cbbaabaabfbbbbbbabd	351485
cbbaabaagabbbbbbabd	351485
cbbaabafaabbbbbbabd	351485
cbbaabebaabbbbbbabd	351485
cbbaafbbaabbbbbbabd	351485
cbbaebbbaabbbbbbabd	351485
cbbeabbbaabbbbbbabd	351485
cbfbabbbaabbbbbbabd	351485
cgababbbaabbbbbbabd	351485
cabababbbaabbbbbbabd	351485
cabababbbaabbbbbgd	131807
cabababbbaabbbbgbd	131807
cabababbbaabbbgbbd	131807
cabababbbaabbgbbbd	131807
cabababbbaabgbbbbd	131807
cabababbbaagbbbbbd	131807
cabababbbafabbbbbd	131807
cabababbbebabbbbbd	131807
cabababbfbbabbbbbd	131807
cabababgabbabbbbbd	131807
cababagbabbabbbbbd	131807
cababfababbabbbbbd	131807
cabagaababbabbbbbd	131807
cabfaaababbabbbbbd	131807
cagaaaababbabbbbbd	131807
cfaaaaababbabbbbbd	131807
caaaaaaababbabbbbbd	131807
caaaaaaababbabbgbbd	197711
caaaaaaababbabgbbbd	197711
caaaaaaababbagbbbbd	197711
caaaaaaababbfabbbbd	197711
caaaaaaababgaabbbbd	197711
caaaaaaabagbaabbbbd	197711
caaaaaaabfabaabbbbd	197711
caaaaaaagaabaabbbbd	197711
caaaaaafaaabaabbbbd	197711
caaaaaebaaabaabbbbd	197711
caaaaeabaaabaabbbbd	197711
caaaeaabaaabaabbbbd	197711
caaeaaabaaabaabbbbd	197711
caeaaaabaaabaabbbbd	197711
ceaaaaabaaabaabbbbd	197711
cbaaaaabaaabaabbbbd	197711
cbaaaaabaaabaabgbbd	296567
cbaaaaabaaabaagbbbd	296567
cbaaaaabaaabafabbbd	296567
cbaaaaabaaabebabbbd	296567
cbaaaaabaaafbbabbbd	296567
cbaaaaabaaebbbabbbd	296567
cbaaaaabaeabbbabbbd	296567
cbaaaaabeaabbbabbbd	296567
cbaaaaafbaabbbabbbd	296567
cbaaaaebbaabbbabbbd	296567
cbaaaeabbaabbbabbbd	296567
cbaaeaabbaabbbabbbd	296567
cbaeaaabbaabbbabbbd	296567
cbeaaaabbaabbbabbbd	296567
cfbaaaabbaabbbabbbd	296567
caabaaaabbaabbbabbbd	296567
caabaaaabbaabbbagbbd	444851
caabaaaabbaabbbfabbd	444851
caabaaaabbaabbgaabbd	444851
caabaaaabbaabgbaabbd	444851
caabaaaabbaagbbaabbd	444851
caabaaaabbafabbaabbd	444851
caabaaaabbebabbaabbd	444851
caabaaaabfbbabbaabbd	444851
caabaaaagabbabbaabbd	444851
caabaaafaabbabbaabbd	444851
caabaaebaabbabbaabbd	444851
caabaeabaabbabbaabbd	444851
caabeaabaabbabbaabbd	444851
caafbaabaabbabbaabbd	444851
caebbaabaabbabbaabbd	444851
ceabbaabaabbabbaabbd	444851
cbabbaabaabbabbaabbd	444851
cbabbaabaabbabbafabd	667277
cbabbaabaabbabbebabd	667277
cbabbaabaabbabfbbabd	667277
cbabbaabaabbagabbabd	667277
cbabbaabaabbfaabbabd	667277
cbabbaabaabgaaabbabd	667277
cbabbaabaagbaaabbabd	667277
cbabbaabafabaaabbabd	667277
cbabbaabebabaaabbabd	667277
cbabbaafbbabaaabbabd	667277
cbabbaebbbabaaabbabd	667277
cbabbeabbbabaaabbabd	667277
cbabfbabbbabaaabbabd	667277
cbagababbbabaaabbabd	667277
cbfaababbbabaaabbabd	667277
cgaaababbbabaaabbabd	667277
cabaaababbbabaaabbabd	667277
cabaaababbbabaaabgd	250229
cabaaababbbabaaagbd	250229
cabaaababbbabaafabd	250229
cabaaababbbabaebabd	250229
cabaaababbbabeababd	250229
cabaaababbbafbababd	250229
cabaaababbbebbababd	250229
cabaaababbfbbbababd	250229
cabaaababgabbbababd	250229
cabaaabagbabbbababd	250229
cabaaabfababbbababd	250229
cabaaagaababbbababd	250229
cabaafaaababbbababd	250229
cabaebaaababbbababd	250229
cabeabaaababbbababd	250229
cafbabaaababbbababd	250229
cebbabaaababbbababd	250229
cbbbabaaababbbababd	250229
cbbbabaaababbbagd	93836
cbbbabaaababbbfad	93836
cbbbabaaababbgaad	93836
cbbbabaaababgbaad	93836
cbbbabaaabagbbaad	93836
cbbbabaaabfabbaad	93836
cbbbabaaagaabbaad	93836
cbbbabaafaaabbaad	93836
cbbbabaebaaabbaad	93836
cbbbabeabaaabbaad	93836
cbbbafbabaaabbaad	93836
cbbbebbabaaabbaad	93836
cbbfbbbabaaabbaad	93836
cbgabbbabaaabbaad	93836
cgbabbbabaaabbaad	93836
cabbabbbabaaabbaad	93836
cabbabbbabaaabbad	46918
cabbabbbabaaabbd	23459
cabbabbbabaafabd	35189
cabbabbbabaebabd	35189
cabbabbbabeababd	35189
cabbabbbafbababd	35189
cabbabbbebbababd	35189
cabbabbfbbbababd	35189
cabbabgabbbababd	35189
cabbagbabbbababd	35189
cabbfababbbababd	35189
cabgaababbbababd	35189
cagbaababbbababd	35189
cfabaababbbababd	35189
caaabaababbbababd	35189
caaabaababbbagd	13196
caaabaababbbfad	13196
caaabaababbgaad	13196
caaabaababgbaad	13196
caaabaabagbbaad	13196
caaabaabfabbaad	13196
caaabaagaabbaad	13196
caaabafaaabbaad	13196
caaabebaaabbaad	13196
caaafbbaaabbaad	13196
caaebbbaaabbaad	13196
caeabbbaaabbaad	13196
ceaabbbaaabbaad	13196
cbaabbbaaabbaad	13196
cbaabbbaaabbad	6598
cbaabbbaaabbd	3299
cbaabbbaafabd	4949
cbaabbbaebabd	4949
cbaabbbeababd	4949
cbaabbfbababd	4949
cbaabgabababd	4949
cbaagbabababd	4949
cbafababababd	4949
cbebababababd	4949
cfbbababababd	4949
caabbababababd	4949
caabbababagd	1856
caabbababfad	1856
caabbabagaad	1856
caabbabfaaad	1856
caabbagaaaad	1856
caabbfaaaaad	1856
caabgaaaaaad	1856
caagbaaaaaad	1856
cafabaaaaaad	1856
cebabaaaaaad	1856
cbbabaaaaaad	1856
cbbabaaaaad	928
cbbabaaaad	464
cbbabaaad	232
cbbabaad	116
cbbabad	58
cbbabd	29
cbgd	11
cgbd	11
cabbd	11
cfabd	17
caaabd	17
caebd	13
ceabd	13
cbabd	13
cgd	5
cabd	5
